N,Gain_Single,Gain_Dual
1031130,934,1207
2089379,1241,1860
3001134,1146,1612
4007342,721,779
5107832,666,601
6086767,676,457
7056480,578,445
8018617,758,252
9080229,1408,1172
10030385,1424,1006
11078937,1244,736
12018436,847,923
13057898,955,857
14092715,1036,1069
15020367,1372,1508
16047298,1547,1581
17071133,1819,1734
18091001,1722,1340
19006677,1849,1411
20020806,2019,1963
21033181,1756,1366
22042405,1787,1953
23048964,1855,2085
24053735,1577,1921
25055922,846,1228
26056252,941,1581
27053463,689,1515
28049753,594,1740
29044474,705,1664
30036731,1026,1764
31027749,664,1681
32017199,1554,1768
33004401,1514,1738
34088991,1716,2078
35073432,1778,2513
36056729,1871,2744
37037878,2101,2931
38017983,1726,2678
39094574,1415,2168
40071843,1365,2320
41048835,1522,3398
42024136,2081,3895
43095410,2248,3413
44067840,2280,3491
45039361,1991,3048
46009215,1589,2880
47076514,1374,2411
48044242,1939,3497
49012057,1672,3194
50074984,1238,2526
51040412,1610,3029
52005085,1735,3143
53065074,1668,3384
54027276,1804,3270
55085799,2008,3367
56046771,2055,3923
57006357,1882,3711
58060275,1739,3553
59019102,1615,3438
60071872,1613,3593
61028405,1469,3315
62079468,1547,3193
63034806,779,3319
64084676,1009,3454
65037966,1006,3795
66086040,929,4044
67038476,1076,4081
68085138,1177,4233
69035407,831,3826
70080340,223,3678
71029474,594,3744
72072759,547,3799
73021132,1330,3845
74063124,1189,3950
75010594,1220,4171
76051115,1107,4177
77091082,1155,4233
78035499,906,4067
79074491,759,4171
80017714,766,4474
81055478,1096,4865
82091453,1242,4567
83033297,1251,4057
84069054,959,3341
85010165,877,2940
86044101,418,2518
87077807,585,2638
88016988,413,2651
89050014,207,2419
90081512,-662,1472
91019234,-396,1803
92049434,81,2568
93079603,-493,2076
94015751,-308,2394
95044616,-944,1172
96073481,-936,1237
97008033,-474,1622
98035769,-665,1876
99063644,-647,1697
